You typically only breathe out of one nostril at a time,"You might think that your nostrils share the workload when it comes to taking in oxygen. And while they do, it's not quite in the way that you might expect. Instead of both taking in the same amount of air when you breathe, you actually inhale most of your oxygen through one nostril at a time. Every few hours, the active nostril will take a break and the other one will take over until they ultimately switch back again. Try it for yourself!"
Vegetables do not really exist.,"When the BBC asked botanist Wolfgang Stuppy of the Royal Botanic Gardens if vegetables really exist, he answered, No, not botanically… the term vegetable doesnt exist in botanical terminology"""
More people drown in fresh water than in salt water.,"Did you know that the vast majority of drownings occur in fresh water? According to ThoughtCo, a staggering 90 percent of drownings take place in swimming pools, bathtubs, and rivers—not only because of circumstances, but also because of the way the different types of water affect the human body in potentially fatal situations."
Ravens moods are affected by others.,It's a well-known fact that ravens are wildly intelligent creatures. But 2019 research published in the journal Proceedings of the National Academy of Sciences discovered that the birds are also very in tune with the feelings of the creatures around them. This empathetic trait had previously only been observed in primates.
Giraffes hum to each other at night to make sure their herd stays together.,"In 2015, researchers from the University of Vienna gathered 947 hours of giraffe noises over an eight-year period at three zoos and they discovered that the animals produced a humming sound at night."
Figs aren't considered vegan because they have dead wasps inside.,"Anyone who sticks to a strictly plant-based diet will want to remove figs from their repertoire. While the figs themselves are fruit, they often include bugs. Vegan Life explains that a female ""wasp will enter the fig, passing into a part of the plant known as the calimyrna"" while trying to lay her eggs. ""Eventually, she dies… and is broken down by a protein-digesting enzyme inside the fig."""
We are born with only two innate fears,"While it might seem like you've been afraid of snakes and spiders since you were born, that's not totally true. According to CNN, scientists have found that humans have just two innate fears: the fear of falling and the fear of loud sounds. The rest of your phobias are learned over time."
Your blood makes up about 8 percent of your body weight.,"The human body contains everything from muscles and bones to organs and bacteria. But when it comes to your overall weight, you'd be silly not to consider your blood. Turns out, it makes up around 8 percent of the number you see on the scale, according to the American Society of Hematology."
"You have a 1 in 1,461 chance of being born on leap day.","Are you a leap day baby? We'd put our money on no. Due to the fact that Feb. 29 only comes around once every four years—as it did in 2020—having this birthday is incredibly rare. In fact, a person has a 1 in 1,461 chance of being born on that day. According to Vox, that's because there are 1,460 days in four years, plus one for the leap year, totaling 1,461."
"The longest one-syllable words in the English language all start with the letter ""s.""","A monosyllabic word has just one syllable. And while plenty of monosyllabic words exist, the longest ones all happen to start with the letter ""s,"" according to Guinness World Records. At 10 letters, ""scraunched"" and ""strengthed"" are the longest monosyllabic words in the English language. ""Screeched,"" ""scrounged,"" ""squelched,"" ""straights,"" and ""strengths"" come in second place with nine letters each."
Ancient Greeks and Romans didn't have a number for zero.,"If you learned Roman numerals in school, then you might've realized you were never taught the number for zero—and that's because there isn't one. While the ancient Romans (and Greeks) were fully aware of the concept of having nothing, they skipped over zero when it came to numbers. In fact, Aristotle himself is said to have dismissed the number because you couldn't divide it and get a reasonable answer, according to The Guardian."
Squirrels cause most power outages in the U.S.,"Typically, the squirrels cause problems by tunneling, chewing through electrical insulation, or becoming a current path between electrical conductors. ""Frankly, the number one threat experienced to date by the U.S. electrical grid is squirrels,"" said John C. Inglis, the former deputy director of the National Security Agency, in 2015."
You can tell the temperature by counting a cricket's chirps.,"If you're not sure what the temperature is on hot summer day, just listen to the crickets. According to the Library of Congress, the musical creatures adjust their signature sounds according to the temperature, which means that if you count how many times a cricket chirps in 15 seconds and then add 37, you'll get a number that is a pretty close approximation of the current temperature in degrees Fahrenheit."
"Children of identical twins are genetically siblings, not cousins.","Cousins whose parents are identical twins share 25 percent of their DNA, instead of the usual 12.5 percent. While full-siblings share 50 percent of their DNA, half-siblings share 25 percent. That's why, though children of identical twins are legally cousins, they are genetically the equivalent of half-siblings."
